City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Klaksvík,62.2266,-6.589,42.8,65,40,18.41,FO,1620748028
Coquimbo,-29.9533,-71.3436,53.6,94,90,5.75,CL,1620748028
Lüderitz,-26.6481,15.1594,72.59,45,0,5.59,NA,1620748029
Matagami,49.7502,-77.6328,44.6,70,1,14.97,CA,1620748029
Mahébourg,-20.4081,57.7,75.2,78,20,4.61,MU,1620748029
Kieta,-6.2167,155.6333,77.9,84,9,2.15,PG,1620748030
Hermanus,-34.4187,19.2345,62.01,80,0,2.51,ZA,1620748030
Bluff,-46.6,168.3333,39.0,83,85,1.99,NZ,1620748030
Faya,18.3851,42.4509,73.4,37,40,9.22,SA,1620748030
Lebu,-37.6167,-73.65,56.68,56,30,8.05,CL,1620748031
Mumbwa,-14.9783,27.0619,65.79,48,1,3.78,ZM,1620748031
Busselton,-33.65,115.3333,62.01,94,82,6.38,AU,1620748031
Vila Franca do Campo,37.7167,-25.4333,66.2,72,20,14.97,PT,1620748032
Cabo San Lucas,22.8909,-109.9124,86.0,61,75,5.75,MX,1620748032
Hithadhoo,-0.6,73.0833,83.14,74,95,11.23,MV,1620748033
Khatanga,71.9667,102.5,28.22,89,100,7.34,RU,1620748033
Ilulissat,69.2167,-51.1,33.8,86,90,4.61,GL,1620748033
Jamestown,42.097,-79.2353,46.99,65,90,6.91,US,1620747803
Esim,4.8699,-2.2405,84.9,66,6,9.13,GH,1620747847
Charters Towers,-20.1,146.2667,67.98,90,69,5.59,AU,1620748034
Margate,51.3813,1.3862,55.0,67,92,1.01,GB,1620748034
Ushuaia,-54.8,-68.3,50.0,57,75,14.97,AR,1620747974
Yellowknife,62.456,-114.3525,30.2,69,90,6.91,CA,1620748034
Hobart,-42.8794,147.3294,44.6,76,90,8.05,AU,1620748035
Corumbá,-19.0092,-57.6533,78.8,69,40,12.66,BR,1620748035
Guerrero Negro,27.9769,-114.0611,63.97,66,0,10.07,MX,1620748035
Hīt,33.6416,42.8251,84.65,30,76,20.04,IQ,1620748036
Airai,-8.9266,125.4092,55.69,80,2,3.11,TL,1620748036
Portland,45.5234,-122.6762,55.99,81,75,3.44,US,1620747923
Hamilton,39.1834,-84.5333,55.4,54,90,10.36,US,1620747774
Lavrentiya,65.5833,-171.0,33.75,96,100,6.71,RU,1620748036
Myre,69.1036,15.9492,43.0,75,75,20.71,NO,1620748037
Arraial do Cabo,-22.9661,-42.0278,78.8,53,0,5.75,BR,1620748037
Kapaa,22.0752,-159.319,73.4,83,90,17.27,US,1620748037
Rikitea,-23.1203,-134.9692,78.19,76,81,24.4,PF,1620748038
Butaritari,3.0707,172.7902,82.49,75,61,17.16,KI,1620748038
Chui,-33.6971,-53.4616,61.45,49,2,10.8,UY,1620748039
La Cruz,23.9167,-106.9,81.0,79,86,1.99,MX,1620748040
Nome,64.5011,-165.4064,37.4,81,90,1.83,US,1620748040
Henties Bay,-22.116,14.2845,82.99,33,0,10.0,NA,1620748041
Dali,25.7,100.1833,58.8,73,11,5.46,CN,1620748041
Terney,45.0503,136.6092,41.16,95,99,4.21,RU,1620748041
Beloha,-25.1667,45.05,66.02,77,3,6.13,MG,1620748042
Spirit River,55.7833,-118.8361,46.4,71,27,2.3,CA,1620748042
Ancud,-41.8697,-73.8203,48.99,100,90,11.5,CL,1620747854
Qaanaaq,77.484,-69.3632,20.97,74,100,7.23,GL,1620748042
Ningxiang,37.34,111.2052,61.21,60,46,6.58,CN,1620748042
College,64.8569,-147.8028,50.0,50,75,6.91,US,1620748043
East London,-33.0153,27.9116,62.6,82,0,5.75,ZA,1620748043
Punta Arenas,-53.15,-70.9167,42.8,75,75,6.91,CL,1620748044
Abu Samrah,35.3029,37.1841,80.56,17,0,13.8,SY,1620748044
Mataura,-46.1927,168.8643,39.0,83,79,1.99,NZ,1620748044
Birnin Kebbi,12.4539,4.1975,106.29,14,54,5.21,NG,1620748045
Isangel,-19.55,169.2667,77.14,82,67,15.1,VU,1620748045
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,3.96,US,1620748045
Yuncheng,35.0231,110.9928,66.7,42,51,6.2,CN,1620747801
Vaini,-21.2,-175.2,75.2,78,40,8.05,TO,1620748046
Craigieburn,-37.6,144.95,50.0,76,75,12.66,AU,1620748046
Hofn,64.2539,-15.2082,34.9,64,25,5.77,IS,1620748046
Souris,49.6172,-100.2612,59.0,32,90,6.91,CA,1620748046
Port Elizabeth,-33.918,25.5701,62.6,82,20,13.8,ZA,1620748047
Bambous Virieux,-20.3428,57.7575,75.2,78,20,4.61,MU,1620748047
Namatanai,-3.6667,152.4333,79.02,80,100,3.6,PG,1620748047
Tura,25.5198,90.2201,66.69,96,100,7.78,IN,1620748048
Saldanha,-33.0117,17.9442,68.0,60,0,14.97,ZA,1620748048
Tasiilaq,65.6145,-37.6368,28.4,86,75,3.44,GL,1620748049
Coolum Beach,-26.5333,153.1,70.0,97,16,2.93,AU,1620748049
Puerto Ayora,-0.7393,-90.3518,79.0,78,40,18.41,EC,1620748049
Hilo,19.7297,-155.09,71.6,78,1,3.44,US,1620748045
Atuona,-9.8,-139.0333,79.84,80,42,24.4,PF,1620748050
Menongue,-14.6585,17.691,70.57,37,7,4.72,AO,1620748050
Longyearbyen,78.2186,15.6401,26.6,80,75,10.36,SJ,1620748050
Faanui,-16.4833,-151.75,81.5,77,100,19.98,PF,1620748051
Araouane,18.9048,-3.5265,108.37,7,52,10.89,ML,1620748051
Paamiut,61.994,-49.6678,36.37,79,100,14.83,GL,1620748051
Cidreira,-30.1811,-50.2056,65.82,53,100,10.89,BR,1620748051
Meulaboh,4.1363,96.1285,78.87,86,100,2.64,ID,1620748052
Dingle,10.9995,122.6711,79.79,81,92,6.71,PH,1620748052
Cape Town,-33.9258,18.4232,64.4,68,0,13.8,ZA,1620748052
Alofi,-19.0595,-169.9187,77.0,83,75,14.97,NU,1620748053
Tyukalinsk,55.8732,72.1967,56.53,42,0,3.0,RU,1620748053
Castro,-24.7911,-50.0119,74.05,39,51,6.33,BR,1620748054
Omboué,-1.5746,9.2618,81.88,75,99,5.64,GA,1620748054
Listvyanskiy,54.4399,83.4984,53.69,51,100,11.05,RU,1620748054
Kaduy,59.2,37.15,69.8,28,0,6.71,RU,1620748054
Barrow,71.2906,-156.7887,17.6,86,90,11.5,US,1620748055
Albany,42.6001,-73.9662,60.01,27,4,1.99,US,1620748055
Tuktoyaktuk,69.4541,-133.0374,15.8,86,75,12.66,CA,1620747874
Richards Bay,-28.783,32.0377,70.56,69,0,8.46,ZA,1620748055
Al Bardīyah,31.7561,25.0865,72.36,49,0,11.86,LY,1620748056
Zambezi,-13.5432,23.1047,69.87,42,1,5.14,ZM,1620748056
Lata,40.1629,-8.3327,66.99,68,63,14.0,PT,1620748056
Saint-Philippe,-21.3585,55.7679,77.0,73,90,4.61,RE,1620748058
Nikolskoye,59.7035,30.7861,75.2,27,0,11.18,RU,1620748058
Manta,-0.95,-80.7333,80.6,78,40,10.36,EC,1620748059
George Town,5.4112,100.3354,82.4,89,40,2.75,MY,1620747960
Leningradskiy,69.3833,178.4167,17.11,95,97,4.03,RU,1620748059
Librazhd,41.1794,20.315,77.0,44,0,9.22,AL,1620748059
Sakakah,29.9697,40.2064,98.6,6,40,5.75,SA,1620748060
Navahrudak,53.6,25.8333,60.35,63,55,10.13,BY,1620748060
Roebourne,-20.7833,117.1333,78.57,44,3,3.76,AU,1620748060
Vostok,46.4856,135.8833,36.97,84,58,3.94,RU,1620748061
Wabana,47.6332,-52.9481,46.99,71,75,21.85,CA,1620748061
Kawalu,-7.3817,108.2082,75.16,95,86,1.99,ID,1620748061
Le Port,-20.9373,55.2919,77.0,83,40,6.91,RE,1620748062
Makassar,-5.14,119.4221,77.0,88,20,3.44,ID,1620748062
Bay Roberts,47.5999,-53.2648,46.99,71,75,21.85,CA,1620747905
Los Llanos de Aridane,28.6585,-17.9182,71.6,64,75,11.5,ES,1620748062
Tecpan,14.7623,-90.9947,71.6,73,40,16.11,GT,1620748063
Sola,-13.8833,167.55,80.31,75,80,14.79,VU,1620748063
Taperoá,-7.2075,-36.8267,76.84,66,94,18.59,BR,1620748063
Ţahţā,26.7693,31.5021,93.2,16,0,13.8,EG,1620748064
Ponta do Sol,32.6667,-17.1,68.0,56,20,13.8,PT,1620748064
Padang,-0.9492,100.3543,79.79,88,100,3.2,ID,1620748064
Kumul,42.8,93.45,74.07,28,100,16.64,CN,1620748064
Husavik,66.0449,-17.3389,41.0,36,0,8.05,IS,1620748065
Talnakh,69.4865,88.3972,34.66,98,100,12.93,RU,1620748065
Tazovsky,67.4667,78.7,31.53,98,100,7.02,RU,1620748065
Conceição do Araguaia,-8.2578,-49.2647,87.8,51,75,9.22,BR,1620748023
Haines Junction,60.7522,-137.5108,42.8,56,11,6.91,CA,1620748066
Bronkhorstspruit,-25.8102,28.7425,75.2,26,0,3.44,ZA,1620748066
Dikson,73.5069,80.5464,29.16,90,12,17.47,RU,1620748066
Segovia,41.1667,-4.0,59.0,36,40,11.5,ES,1620748066
St. George's,12.0564,-61.7485,84.2,70,20,28.77,GD,1620747984
Katobu,-4.9408,122.5276,74.57,90,19,4.18,ID,1620748067
Saravan,39.7196,45.6483,69.8,37,12,6.91,AM,1620748067
Thinadhoo,0.5333,72.9333,82.4,78,100,12.93,MV,1620748068
Hualmay,-11.0964,-77.6139,69.96,70,4,9.53,PE,1620748068
Severo-Kuril'sk,50.6789,156.125,35.13,80,59,5.03,RU,1620748068
Port Alfred,-33.5906,26.891,64.4,84,0,13.44,ZA,1620748068
Bedēsa,8.9,40.7833,69.78,57,91,1.99,ET,1620748069
New Norfolk,-42.7826,147.0587,45.0,69,5,1.01,AU,1620748069
Palana,59.1167,159.9667,28.29,88,86,8.32,RU,1620748069
Carnarvon,-24.8667,113.6333,66.2,94,0,4.61,AU,1620748070
Ostrovnoy,68.0531,39.5131,40.77,96,100,14.85,RU,1620748070
Karratha,-20.7377,116.8463,78.21,44,5,4.14,AU,1620748070
Nanortalik,60.1432,-45.2371,39.85,63,78,4.05,GL,1620748071
Tonstad,58.6626,6.7169,60.8,59,0,13.8,NO,1620748071
Lorengau,-2.0226,147.2712,78.78,78,83,3.76,PG,1620748071
Mount Isa,-20.7333,139.5,66.2,37,0,10.36,AU,1620748071
Iqaluit,63.7506,-68.5145,28.4,80,20,4.61,CA,1620748072
Townsville,-19.25,146.8,73.4,100,75,4.61,AU,1620748072
Bethel,41.3712,-73.414,60.01,33,1,14.97,US,1620748073
Port Lincoln,-34.7333,135.8667,57.78,62,73,9.66,AU,1620748073
Burnie,-41.0667,145.9167,42.01,66,4,5.99,AU,1620748073
Komatsu,36.4026,136.4509,51.8,93,75,2.3,JP,1620748074
Pombia,45.653,8.6336,59.0,100,75,10.36,IT,1620748074
Verāval,20.9,70.3667,83.37,77,2,12.57,IN,1620748074
Bredasdorp,-34.5322,20.0403,64.4,63,0,12.66,ZA,1620748074
Coyhaique,-45.5752,-72.0662,32.0,100,90,6.17,CL,1620748075
Upernavik,72.7868,-56.1549,28.44,80,100,2.66,GL,1620748075
Poum,-20.2333,164.0167,77.5,80,88,16.71,NC,1620748075
Yukamenskoye,57.8865,52.2416,62.38,74,6,6.71,RU,1620748076
Kismayo,-0.3582,42.5454,79.7,77,71,15.68,SO,1620748076
Panji,-7.7253,114.0995,76.89,83,48,4.12,ID,1620748076
Havøysund,70.9963,24.6622,35.6,93,75,6.91,NO,1620748076
Avarua,-21.2078,-159.775,75.2,94,75,1.14,CK,1620748077
Hambantota,6.1241,81.1185,80.6,94,40,4.61,LK,1620748077
Plaster Rock,46.9065,-67.39,57.99,50,90,10.36,CA,1620748077
Abalak,58.1286,68.5944,59.72,39,95,5.32,RU,1620748078
Makkah al Mukarramah,21.4267,39.8261,94.17,20,0,9.4,SA,1620748078
Acapulco de Juárez,16.8634,-99.8901,86.0,70,40,4.0,MX,1620748078
Fortuna,40.5982,-124.1573,57.99,93,1,5.66,US,1620748079
Pingliang,35.5392,106.6861,59.38,71,85,3.76,CN,1620748079
Codrington,-38.2667,141.9667,47.88,93,28,7.54,AU,1620748080
Vila Velha,-20.3297,-40.2925,80.6,50,40,6.91,BR,1620747917
Torbay,47.6666,-52.7314,46.99,71,75,21.85,CA,1620748080
Nambucca Heads,-30.65,153.0,60.8,94,100,5.03,AU,1620748080
Nhulunbuy,-12.2333,136.7667,78.8,83,40,10.36,AU,1620748080
Bilibino,68.0546,166.4372,12.34,93,91,5.55,RU,1620748081
Senica,48.6792,17.367,79.0,36,0,16.11,SK,1620748081
Olean,42.0776,-78.4297,48.0,61,90,8.05,US,1620748082
Kenai,60.5544,-151.2583,37.4,100,75,4.61,US,1620748082
Mar del Plata,-38.0023,-57.5575,62.01,77,40,9.22,AR,1620748082
Kruisfontein,-34.0033,24.7314,62.01,82,0,5.99,ZA,1620748083
Marang,5.2056,103.2059,82.4,83,40,2.3,MY,1620748083
Hasaki,35.7333,140.8333,59.0,67,75,8.05,JP,1620748083
Vikhorevka,56.1201,101.1636,39.2,70,95,6.71,RU,1620748084
Monywa,22.1167,95.1333,90.9,45,71,8.39,MM,1620748084
Severodvinsk,64.5635,39.8302,71.6,43,40,4.47,RU,1620748084
São Filipe,14.8961,-24.4956,75.11,69,0,7.49,CV,1620748085
Terrace,54.5163,-128.6035,46.4,76,90,3.44,CA,1620747904
Tiksi,71.6872,128.8694,20.32,97,100,4.23,RU,1620748085
Nelson Bay,-32.7167,152.15,59.0,94,75,9.22,AU,1620748085
Boussé,12.6606,-1.8922,105.8,27,40,6.91,BF,1620748086
Maniitsoq,65.4167,-52.9,34.7,79,70,5.68,GL,1620748086
Bengkulu,-3.8004,102.2655,78.28,89,99,2.19,ID,1620748086
La Serena,-29.9078,-71.2542,53.6,94,90,5.75,CL,1620748087
Pringsewu,-5.3582,104.9744,74.23,90,94,1.1,ID,1620748087
Daşoguz,41.8363,59.9666,84.2,20,0,2.3,TM,1620748087
Amapá,1.0,-52.0,77.36,95,89,4.27,BR,1620748088
Kaitangata,-46.2817,169.8464,44.01,73,91,8.01,NZ,1620748088
Tuburan,6.6439,122.2736,78.8,94,75,3.44,PH,1620748088
Hauterive,46.0901,3.4459,57.2,66,75,12.66,FR,1620748088
Sidi Ali,36.0998,0.4206,62.44,49,71,11.39,DZ,1620748089
Derzhavīnsk,51.1,66.3167,58.46,47,2,6.91,KZ,1620748089
Darhan,49.4867,105.9228,45.9,40,9,0.4,MN,1620748089
Houma,29.5958,-90.7195,82.99,83,90,6.91,US,1620747884
Cherskiy,68.75,161.3,10.45,98,71,3.29,RU,1620748090
Sinj,43.7036,16.6394,77.0,47,0,6.91,HR,1620748090
Nishihara,26.1842,127.7558,77.0,88,20,11.5,JP,1620748090
Eureka,40.8021,-124.1637,57.99,100,90,6.6,US,1620748091
Egvekinot,66.3167,-179.1667,25.57,95,100,9.64,RU,1620748091
Okhotsk,59.3833,143.3,31.41,84,82,2.1,RU,1620748091
Olafsvik,64.8945,-23.7142,38.07,64,22,8.19,IS,1620748092
Beringovskiy,63.05,179.3167,29.93,97,100,7.2,RU,1620748092
Saint Anthony,45.0205,-93.218,55.99,35,1,2.26,US,1620748092
Umluj,25.0213,37.2685,84.76,50,0,1.63,SA,1620748093
Ust-Maya,60.4167,134.5333,46.8,66,100,2.86,RU,1620748093
San Patricio,28.017,-97.5169,87.8,66,40,13.8,US,1620748094
Bolgatanga,10.7856,-0.8514,102.56,23,28,6.42,GH,1620748094
Kholm,59.2667,32.85,66.92,54,1,5.95,RU,1620748094
Roald,62.5833,6.1333,62.01,55,40,18.41,NO,1620748094
Nchelenge,-9.3451,28.734,72.36,60,4,5.39,ZM,1620748095
Berbérati,4.2612,15.7922,81.48,67,100,3.2,CF,1620748095
Adrar,20.5022,-10.0711,100.15,10,1,14.85,MR,1620748096
Saint-Pierre,-21.3393,55.4781,77.0,73,90,4.61,RE,1620748097
Koslan,63.4564,48.8989,50.29,80,100,6.71,RU,1620748097
Safonovo,55.15,33.2167,60.73,66,32,6.67,RU,1620748097
Santa Isabel Rio Negro,-0.4139,-65.0192,79.45,90,87,3.31,BR,1620748097
Pevek,69.7008,170.3133,5.0,97,98,3.76,RU,1620748098
Matara,5.9485,80.5353,81.37,80,51,2.06,LK,1620748098
Shira,54.4911,89.9531,49.75,53,100,4.68,RU,1620748099
Dhidhdhoo,6.8833,73.1,81.27,86,100,12.1,MV,1620748099
Celestún,20.8667,-90.4,88.18,52,4,10.42,MX,1620748099
Florianópolis,-27.6146,-48.5012,69.01,77,75,14.97,BR,1620748099
Provideniya,64.3833,-173.3,33.84,97,100,9.91,RU,1620748100
Narsaq,60.9167,-46.05,44.6,45,75,6.91,GL,1620748100
Geraldton,-28.7667,114.6,62.6,72,69,10.36,AU,1620748100
Vestmannaeyjar,63.4427,-20.2734,41.0,75,20,10.36,IS,1620748101
Cadillac,44.2519,-85.4012,42.8,65,75,12.66,US,1620748101
Shiogama,38.3167,141.0333,51.73,69,0,6.42,JP,1620748101
Mazagão,-0.115,-51.2894,77.0,94,90,13.8,BR,1620748102
Shimoda,34.6667,138.95,64.99,76,100,10.92,JP,1620748102
Nioro,13.35,-15.75,106.81,10,17,3.15,GM,1620748102
Wanning,18.8003,110.3967,79.72,89,31,9.37,CN,1620748102
Tezu,27.9167,96.1667,74.08,67,72,3.76,IN,1620748103
Joshīmath,30.5667,79.5667,58.86,91,100,4.85,IN,1620748103
Brae,60.3964,-1.353,50.0,87,20,5.75,GB,1620748104
Kalmunai,7.4167,81.8167,82.53,77,98,10.58,LK,1620748104
Clearwater,27.9659,-82.8001,87.01,62,40,6.91,US,1620747960
Sinnamary,5.3833,-52.95,81.95,73,85,11.79,GF,1620748104
Avera,33.194,-82.5271,78.8,57,1,3.44,US,1620748105
Tomigusuku,26.185,127.675,77.0,94,75,16.11,JP,1620748105
Vila,42.0304,-8.1588,57.0,71,99,14.0,PT,1620748105
Aras,42.5617,-2.356,64.99,27,20,16.11,ES,1620748106
Yelkhovka,53.8667,50.2832,73.4,35,0,4.47,RU,1620748106
Bima,-8.4667,118.7167,73.13,89,87,3.67,ID,1620748106
Morondava,-20.2833,44.2833,76.93,71,1,14.58,MG,1620748107
Departamento de Maldonado,-34.6667,-54.9167,60.8,59,40,16.11,UY,1620748107
Zatoka,46.0725,30.4654,73.4,38,20,13.42,UA,1620748107
São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,83,90,5.75,BR,1620748108
Westport,41.1415,-73.3579,62.01,27,1,17.27,US,1620747837
Sanguéya,10.7,-14.3667,92.77,39,10,13.44,GN,1620748108
Sept-Îles,50.2001,-66.3821,48.99,53,75,10.36,CA,1620748108
Jvari,42.7169,42.052,59.0,55,0,11.5,GE,1620748109
Thompson,55.7435,-97.8558,57.2,33,20,14.97,CA,1620748109
Hong Kong,22.2855,114.1577,84.99,84,6,1.99,HK,1620747943
Baguanos,20.7517,-76.0269,87.8,58,40,10.36,CU,1620748109
Birjand,32.8663,59.2211,75.2,19,20,13.8,IR,1620748110
Bacolod City,10.6667,122.95,80.64,78,67,5.28,PH,1620748110
Esperance,-33.8667,121.9,59.0,88,76,13.8,AU,1620748110
Mayo,38.8876,-76.5119,66.99,39,1,6.91,US,1620748110
Boston,42.3584,-71.0598,63.0,29,20,17.27,US,1620747572
Sitka,57.0531,-135.33,46.4,87,90,11.5,US,1620748111
Škofja Loka,46.1655,14.3063,78.01,38,20,1.14,SI,1620748111
Tuatapere,-46.1333,167.6833,39.0,83,86,1.99,NZ,1620748111
La Ronge,55.1001,-105.2842,57.2,30,82,4.61,CA,1620748112
Anadyr,64.75,177.4833,26.6,93,90,11.18,RU,1620748112
Zahir Pir,28.8124,70.524,91.71,28,36,11.48,PK,1620748112
Alice Springs,-23.7,133.8833,53.6,71,0,5.75,AU,1620747916
Maceió,-9.6658,-35.7353,78.8,78,75,16.11,BR,1620748113
